job_id,title,company,location,salary,description,url,date_posted,job_type,experience_level,required_skills,education,benefits,education_required,years_experience,date_processed,skill_sql,skill_python,skill_r,skill_excel,skill_tableau,skill_power bi,skill_sas,skill_spss,skill_java,skill_c#,skill_c\+\+,skill_javascript,skill_scala,skill_matlab,skill_hadoop,skill_spark,skill_aws,skill_azure,skill_google cloud,skill_etl,skill_machine learning,skill_ai,skill_deep learning,skill_nlp,skill_natural language processing,skill_data mining,skill_data visualization,skill_statistical analysis,skill_a/b testing,skill_data modeling,skill_data warehousing,skill_big data,skill_nosql,skill_mongodb,skill_cassandra,skill_mysql,skill_postgresql,skill_oracle,skill_sql server,skill_teradata,skill_snowflake,skill_redshift,skill_looker,skill_qlik,skill_alteryx,skill_knime,skill_rapidminer,skill_tensorflow,skill_pytorch,skill_keras,skill_scikit-learn,skill_pandas,skill_numpy,skill_matplotlib,skill_seaborn,skill_ggplot2,skill_jupyter,skill_git,skill_docker,skill_kubernetes,skill_airflow,skill_luigi,skill_databricks,skill_agile,skill_scrum,skill_jira,skill_confluence,skill_microsoft office,skill_vba,skill_dax,skill_power query,skill_sharepoint,skill_salesforce,skill_dynamics,skill_sap,skill_oracle ebs,skills_mentioned_count,skills_mentioned,description_snippet,search_job_title,search_location,min_salary,max_salary,salary_period,avg_salary,job_level,is_remote,salary_competitiveness
ema7g5j94bgz1b8u,Business Intelligence Analyst,Pinnacle Insights,"San Francisco, CA","$140,000 - $160,000 a year","We are seeking a talented Business Intelligence Analyst to join our team.

Responsibilities:
- This position involves optimizing data collection procedures and ensuring data quality.
- You will transform raw data into meaningful business insights.
- In this role, you will design and build interactive dashboards and reports.
- You will work with business users to understand reporting needs and deliver solutions.

Requirements:
- High School Diploma in Computer Science, Statistics, Mathematics, or related field
- 3+ years of experience in business intelligence analyst or related field
- Proficiency in Google Cloud
- Proficiency in SPSS
- Proficiency in R
- Proficiency in Python
- Proficiency in ETL
- Proficiency in Tableau

Preferred Qualifications:
- Experience with Database Management
- Experience with Statistical Analysis
- Experience with Reporting

Benefits:
- Health, dental, and vision insurance
- Flexible work arrangements
- 401(k) matching
- Collaborative and innovative work environment
",https://www.indeed.com/viewjob?jk=ema7g5j94bgz1b8u,2025-03-20,Contract,Mid level,"['SPSS', 'Statistical Analysis', 'Hadoop', 'Data Quality', 'Dashboard Development', 'A/B Testing']",Master's degree,"['Free snacks and drinks', 'Health insurance', 'Tuition reimbursement', 'Flexible schedule']",Bachelor's degree,3,2025-04-14,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"['Python', 'R', 'Tableau', 'SPSS', 'Google Cloud', 'ETL', 'Statistical Analysis']","Join our growing team as a Business Intelligence Analyst and help transform data into actionable insights.

Responsibilities:
- In this role, you will...",Business Intelligence Analyst,"San Francisco, CA",140000.0,160000.0,year,150000.0,Mid-level,False,High
kep2nynzdlhabls0,Data Analyst,QuantumLeap Analytics,"New York, NY","$40,000 - $60,000 a year","Our client is looking for an experienced Data Analyst to help drive business insights.

Responsibilities:
- You will work with cross-functional teams to understand business requirements and provide data-driven solutions.
- In this role, you will analyze complex datasets to identify trends and insights.
- This position involves cleaning and transforming data to ensure accuracy and reliability.
- You will be responsible for creating dashboards and reports to communicate findings to stakeholders.

Requirements:
- Bachelor's degree in Computer Science, Statistics, Mathematics, or related field
- 1+ years of experience in data analyst or related field
- Proficiency in R
- Proficiency in SQL
- Proficiency in Data Quality
- Proficiency in Business Intelligence
- Proficiency in Big Data
- Proficiency in Hadoop

Preferred Qualifications:
- Experience with Data Warehousing
- Experience with AWS
- Experience with Predictive Analytics

Benefits:
- Professional development opportunities
- 401(k) matching
- Flexible work arrangements
- Competitive salary and benefits package
",https://www.indeed.com/viewjob?jk=kep2nynzdlhabls0,2025-04-05,Temporary,Director,"['R', 'Power BI', 'Hadoop', 'Data Modeling', 'Spark', 'Tableau', 'Data Mining', 'SQL', 'Dashboard Development']",Associate's degree,"['Vision insurance', 'Company events', 'Professional development', 'Gym membership', 'Tuition reimbursement', 'Remote work option', '401(k)']",Bachelor's degree,1,2025-04-14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"['SQL', 'R', 'Hadoop', 'AWS', 'Data Warehousing', 'Big Data']","Exciting opportunity for a Data Analyst to make an impact in a fast-paced environment.

Responsibilities:
- You will work with cross-functional teams ...",Data Analyst,"New York, NY",40000.0,60000.0,year,50000.0,Junior,False,Low
9yzers6xppu35b5c,Data Analyst,CoreTech Solutions,"Chicago, IL",$70 - $90 an hour,"We're hiring a Data Analyst to help us make data-driven decisions.

Responsibilities:
- This position involves cleaning and transforming data to ensure accuracy and reliability.
- In this role, you will analyze complex datasets to identify trends and insights.
- You will work with cross-functional teams to understand business requirements and provide data-driven solutions.
- You will be responsible for creating dashboards and reports to communicate findings to stakeholders.

Requirements:
- Certification in Computer Science, Statistics, Mathematics, or related field
- 4+ years of experience in data analyst or related field
- Proficiency in Data Warehousing
- Proficiency in SPSS
- Proficiency in Power BI
- Proficiency in R
- Proficiency in ETL
- Proficiency in Data Modeling

Preferred Qualifications:
- Experience with A/B Testing
- Experience with Data Mining
- Experience with Business Intelligence

Benefits:
- Health, dental, and vision insurance
- Competitive salary and benefits package
- Professional development opportunities
- 401(k) matching
",https://www.indeed.com/viewjob?jk=9yzers6xppu35b5c,2025-03-17,Internship,Manager,"['SQL', 'Data Modeling', 'Data Visualization', 'Excel', 'Predictive Analytics', 'Data Cleaning', 'Tableau']",High School Diploma,"['Gym membership', 'Casual dress code', 'Paid time off', 'Remote work option', '401(k)', 'Company events', 'Flexible schedule']",Master's degree,4,2025-04-14,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"['R', 'Power BI', 'SPSS', 'ETL', 'Data Mining', 'A/B Testing', 'Data Modeling', 'Data Warehousing']","Join our growing team as a Data Analyst and help transform data into actionable insights.

Responsibilities:
- You will work with cross-functional tea...",Data Analyst,"Chicago, IL",70.0,90.0,n,80.0,Mid-level,False,Low
k9ey7zc2kcgt44kn,Data Scientist,TechCorp Solutions,"Austin, TX",N/A,"We are seeking a talented Data Scientist to join our team.

Responsibilities:
- You will use machine learning techniques to solve complex business problems.
- You will collaborate with stakeholders to translate business questions into analytical frameworks.
- This position involves exploring and visualizing data to uncover hidden patterns.
- In this role, you will develop and implement advanced analytical models.

Requirements:
- Master's degree in Computer Science, Statistics, Mathematics, or related field
- 5+ years of experience in data scientist or related field
- Proficiency in Data Quality
- Proficiency in Tableau
- Proficiency in Excel
- Proficiency in R
- Proficiency in Google Cloud
- Proficiency in SAS

Preferred Qualifications:
- Experience with Data Modeling
- Experience with A/B Testing
- Experience with Spark

Benefits:
- 401(k) matching
- Competitive salary and benefits package
- Flexible work arrangements
- Paid time off and holidays
",https://www.indeed.com/viewjob?jk=k9ey7zc2kcgt44kn,2025-04-13,Contract,Manager,"['AWS', 'Power BI', 'Excel', 'Statistical Analysis', 'Python', 'Reporting']",PhD,"['Health insurance', '401(k)', 'Paid time off', 'Remote work option']",Master's degree,5,2025-04-14,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"['R', 'Excel', 'Tableau', 'SAS', 'Spark', 'Google Cloud', 'Machine Learning', 'A/B Testing', 'Data Modeling']","Join our growing team as a Data Scientist and help transform data into actionable insights.

Responsibilities:
- In this role, you will develop and im...",Data Scientist,"Austin, TX",,,Not specified,,Senior,False,Unknown
sews1svww2z7nrjf,Business Intelligence Analyst,Elite Analytics,"New York, NY",$90 - $110 an hour,"We're hiring a Business Intelligence Analyst to help us make data-driven decisions.

Responsibilities:
- You will transform raw data into meaningful business insights.
- This position involves optimizing data collection procedures and ensuring data quality.
- You will work with business users to understand reporting needs and deliver solutions.
- In this role, you will design and build interactive dashboards and reports.

Requirements:
- Associate's degree in Computer Science, Statistics, Mathematics, or related field
- 3+ years of experience in business intelligence analyst or related field
- Proficiency in Hadoop
- Proficiency in Data Modeling
- Proficiency in Data Mining
- Proficiency in Data Visualization
- Proficiency in Predictive Analytics
- Proficiency in SAS

Preferred Qualifications:
- Experience with Azure
- Experience with SPSS
- Experience with Business Intelligence

Benefits:
- Health, dental, and vision insurance
- Flexible work arrangements
- Collaborative and innovative work environment
- 401(k) matching
",https://www.indeed.com/viewjob?jk=sews1svww2z7nrjf,2025-03-30,Part-time,Director,"['R', 'Big Data', 'Spark', 'Predictive Analytics', 'Data Governance']",Associate's degree,"['Tuition reimbursement', 'Health insurance', 'Vision insurance', 'Free snacks and drinks', 'Casual dress code']",Master's degree,3,2025-04-14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"['SAS', 'SPSS', 'Hadoop', 'Azure', 'Data Mining', 'Data Visualization', 'Data Modeling']","Join our growing team as a Business Intelligence Analyst and help transform data into actionable insights.

Responsibilities:
- You will work with bus...",Business Intelligence Analyst,"New York, NY",90.0,110.0,n,100.0,Mid-level,False,Low
fg0xemkko72idimr,Business Analyst,Precision Insights,"New York, NY",N/A,"Our client is looking for an experienced Business Analyst to help drive business insights.

Responsibilities:
- In this role, you will bridge the gap between business needs and technical solutions.
- You will gather and document business requirements and translate them into functional specifications.
- This position involves analyzing business processes and recommending improvements.
- You will work closely with stakeholders to ensure solutions meet business objectives.

Requirements:
- PhD in Computer Science, Statistics, Mathematics, or related field
- 3+ years of experience in business analyst or related field
- Proficiency in Data Governance
- Proficiency in R
- Proficiency in Business Intelligence
- Proficiency in Excel
- Proficiency in Data Quality
- Proficiency in Data Warehousing

Preferred Qualifications:
- Experience with Data Cleaning
- Experience with Azure
- Experience with Machine Learning

Benefits:
- Health, dental, and vision insurance
- Paid time off and holidays
- Flexible work arrangements
- Collaborative and innovative work environment
",https://www.indeed.com/viewjob?jk=fg0xemkko72idimr,2025-04-12,Contract,Entry level,"['Machine Learning', 'Data Governance', 'Hadoop', 'Python', 'SPSS', 'Dashboard Development', 'Google Cloud']",High School Diploma,"['Company events', 'Gym membership', 'Tuition reimbursement', 'Free snacks and drinks', 'Dental insurance', 'Health insurance', '401(k)', 'Casual dress code']",Master's degree,3,2025-04-14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"['R', 'Excel', 'Azure', 'Machine Learning', 'Data Warehousing']","Exciting opportunity for a Business Analyst to make an impact in a fast-paced environment.

Responsibilities:
- You will gather and document business ...",Business Analyst,"New York, NY",,,Not specified,,Mid-level,False,Unknown
sftljv2f251d7pai,Data Analyst,Stellar Data,"Austin, TX","$140,000 - $160,000 a year","We are seeking a talented Data Analyst to join our team.

Responsibilities:
- This position involves cleaning and transforming data to ensure accuracy and reliability.
- You will be responsible for creating dashboards and reports to communicate findings to stakeholders.
- You will work with cross-functional teams to understand business requirements and provide data-driven solutions.
- In this role, you will analyze complex datasets to identify trends and insights.

Requirements:
- Bachelor's degree in Computer Science, Statistics, Mathematics, or related field
- 2+ years of experience in data analyst or related field
- Proficiency in Machine Learning
- Proficiency in Data Modeling
- Proficiency in Azure
- Proficiency in Big Data
- Proficiency in Data Warehousing
- Proficiency in Google Cloud

Preferred Qualifications:
- Experience with Hadoop
- Experience with Dashboard Development
- Experience with A/B Testing

Benefits:
- Competitive salary and benefits package
- Health, dental, and vision insurance
- 401(k) matching
- Paid time off and holidays
",https://www.indeed.com/viewjob?jk=sftljv2f251d7pai,2025-03-22,Internship,Senior level,"['Data Governance', 'AWS', 'Reporting', 'Excel', 'Python', 'SAS', 'Database Management', 'Predictive Analytics']",Associate's degree,"['401(k)', 'Professional development', 'Casual dress code', 'Flexible schedule', 'Gym membership', 'Paid time off', 'Health insurance', 'Company events']",Bachelor's degree,2,2025-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"['Hadoop', 'Azure', 'Google Cloud', 'Machine Learning', 'A/B Testing', 'Data Modeling', 'Data Warehousing', 'Big Data']","We are seeking a talented Data Analyst to join our team.

Responsibilities:
- This position involves cleaning and transforming data to ensure accuracy...",Data Analyst,"Austin, TX",140000.0,160000.0,year,150000.0,Mid-level,False,High
w8bozh8cp1aqu78e,Business Analyst,DataDriven Enterprises,Remote,"$80,000 - $100,000 a year","Exciting opportunity for a Business Analyst to make an impact in a fast-paced environment.

Responsibilities:
- You will work closely with stakeholders to ensure solutions meet business objectives.
- In this role, you will bridge the gap between business needs and technical solutions.
- This position involves analyzing business processes and recommending improvements.
- You will gather and document business requirements and translate them into functional specifications.

Requirements:
- Master's degree in Computer Science, Statistics, Mathematics, or related field
- 1+ years of experience in business analyst or related field
- Proficiency in Database Management
- Proficiency in ETL
- Proficiency in SPSS
- Proficiency in Machine Learning
- Proficiency in Business Intelligence
- Proficiency in Data Cleaning

Preferred Qualifications:
- Experience with Data Governance
- Experience with R
- Experience with Data Warehousing

Benefits:
- Paid time off and holidays
- Health, dental, and vision insurance
- 401(k) matching
- Collaborative and innovative work environment
",https://www.indeed.com/viewjob?jk=w8bozh8cp1aqu78e,2025-03-15,Temporary,Executive,"['Azure', 'Data Mining', 'A/B Testing', 'Data Modeling', 'Google Cloud', 'R', 'Data Governance']",PhD,"['Dental insurance', '401(k)', 'Vision insurance', 'Company events', 'Professional development', 'Health insurance']",Bachelor's degree,1,2025-04-14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"['R', 'SPSS', 'ETL', 'Machine Learning', 'Data Warehousing']","Join our growing team as a Business Analyst and help transform data into actionable insights.

Responsibilities:
- You will work closely with stakehol...",Business Analyst,Remote,80000.0,100000.0,year,90000.0,Junior,True,High
9q1lfpa1kncc0tpa,Business Intelligence Analyst,Insight Technologies,"Austin, TX",$70 - $90 an hour,"Exciting opportunity for a Business Intelligence Analyst to make an impact in a fast-paced environment.

Responsibilities:
- In this role, you will design and build interactive dashboards and reports.
- You will transform raw data into meaningful business insights.
- This position involves optimizing data collection procedures and ensuring data quality.
- You will work with business users to understand reporting needs and deliver solutions.

Requirements:
- Bachelor's degree in Computer Science, Statistics, Mathematics, or related field
- 5+ years of experience in business intelligence analyst or related field
- Proficiency in Business Intelligence
- Proficiency in SQL
- Proficiency in Hadoop
- Proficiency in Machine Learning
- Proficiency in Data Modeling
- Proficiency in Data Warehousing

Preferred Qualifications:
- Experience with SAS
- Experience with Data Governance
- Experience with Data Quality

Benefits:
- Paid time off and holidays
- Competitive salary and benefits package
- Health, dental, and vision insurance
- 401(k) matching
",https://www.indeed.com/viewjob?jk=9q1lfpa1kncc0tpa,2025-03-26,Part-time,Mid level,"['Big Data', 'R', 'Statistical Analysis', 'Data Mining', 'Google Cloud', 'Business Intelligence', 'Data Visualization', 'Reporting', 'Azure']",Bachelor's degree,"['Vision insurance', 'Company events', 'Professional development', 'Free snacks and drinks']",Bachelor's degree,5,2025-04-14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"['SQL', 'SAS', 'Hadoop', 'Machine Learning', 'Data Modeling', 'Data Warehousing']","We're hiring a Business Intelligence Analyst to help us make data-driven decisions.

Responsibilities:
- In this role, you will design and build inter...",Business Intelligence Analyst,"Austin, TX",70.0,90.0,n,80.0,Senior,False,Low
t4ipwcehay1z0hvk,Business Intelligence Analyst,DataSphere Inc.,"Austin, TX","$120,000 - $140,000 a year","Join our growing team as a Business Intelligence Analyst and help transform data into actionable insights.

Responsibilities:
- You will work with business users to understand reporting needs and deliver solutions.
- You will transform raw data into meaningful business insights.
- In this role, you will design and build interactive dashboards and reports.
- This position involves optimizing data collection procedures and ensuring data quality.

Requirements:
- Master's degree in Computer Science, Statistics, Mathematics, or related field
- 4+ years of experience in business intelligence analyst or related field
- Proficiency in Statistical Analysis
- Proficiency in SAS
- Proficiency in Data Governance
- Proficiency in Predictive Analytics
- Proficiency in Python
- Proficiency in Data Visualization

Preferred Qualifications:
- Experience with Excel
- Experience with Azure
- Experience with Power BI

Benefits:
- Paid time off and holidays
- Professional development opportunities
- 401(k) matching
- Collaborative and innovative work environment
",https://www.indeed.com/viewjob?jk=t4ipwcehay1z0hvk,2025-03-15,Internship,Senior level,"['Tableau', 'A/B Testing', 'Reporting', 'Machine Learning', 'Data Modeling', 'Power BI']",Certification,"['Tuition reimbursement', 'Remote work option', 'Professional development', 'Gym membership', 'Paid time off']",Master's degree,4,2025-04-14,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"['Python', 'Excel', 'Power BI', 'SAS', 'Azure', 'Data Visualization', 'Statistical Analysis']","We're hiring a Business Intelligence Analyst to help us make data-driven decisions.

Responsibilities:
- This position involves optimizing data collec...",Business Intelligence Analyst,"Austin, TX",120000.0,140000.0,year,130000.0,Mid-level,False,High
